,sentence,label,data
0,Multi-Aspect Query Summarization by Composite Query,null,null
1,"Wei Song1, Qing Yu2, Zhiheng Xu3, Ting Liu1, Sheng Li1, Ji-Rong Wen2",null,null
2,"1School of Computer Science and Technology, Harbin Institute of Technology, Harbin, 150001, China",null,null
3,"{wsong, tliu, lisheng}@ir.hit.edu.cn",null,null
4,"2 Microsoft Research Asia, Beijing, 100190, China",null,null
5,"{qingyu, jrwen}@microsoft.com",null,null
6,"3 Institute of Automation, Chinese Academy of Sciences, Beijing, 100190, China",null,null
7,xuzhiheng19881130@gmail.com,null,null
8,ABSTRACT,null,null
9,"Conventional search engines usually return a ranked list of web pages in response to a query. Users have to visit several pages to locate the relevant parts. A promising future search scenario should involve: (1) understanding user intents; (2) providing relevant information directly to satisfy searchers' needs, as opposed to relevant pages. In this paper, we present a paradigm for dealing with informational queries. We aim to summarize a query's information from different aspects. Query aspects are aligned to user intents. The generated summaries for query aspects are expected to be both specific and informative, so that users can easily and quickly find relevant information. Specifically, we use a ""Composite Query for Summarization"" method, which leverages the search engine to proactively gather information by submitting multiple composite queries according to the original query and its aspects. In this way, we could get more relevant information for each query aspect and roughly classify information. By comparative mining the search results of different composite queries, it is able to identify query (dependent) aspect words, which help to generate more specific and informative summaries. The experimental results on two data sets, Wikipedia and TREC ClueWeb2009, are encouraging. Our method outperforms two baseline methods on generating informative summaries.",null,null
10,Categories and Subject Descriptors,null,null
11,H.3.m [Information Storage and Retrieval]: Miscellaneous,null,null
12,General Terms,null,null
13,"Algorithms, Experimentation",null,null
14,This work was done when the first and third authors were visiting Microsoft Research Asia,null,null
15,"Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. To copy otherwise, to republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee. SIGIR'12, August 12­16, 2012, Portland, Oregon, USA. Copyright 2012 ACM 978-1-4503-1472-5/12/08 ...$15.00.",null,null
16,Keywords,null,null
17,"Query aspect, Query summarization, Composite query, Mixture Model",null,null
18,1. INTRODUCTION,null,null
